metric,group,elasticity
exact_match,single,3.7403264212371514
exact_match,few,0.2993280125019595
exact_match,many,-0.0
exact_match,few+many,0.1210532402156081
edit_sim,single,3.822896719197701
edit_sim,few,0.3639512565836644
edit_sim,many,-0.0
edit_sim,few+many,0.1521137480318408
jaccard_sim,single,4.34532681746716
jaccard_sim,few,0.3989138263299238
jaccard_sim,many,-0.2640708906786877
jaccard_sim,few+many,-0.0124256252465648
rouge_l,single,4.156749859115931
rouge_l,few,0.233025316232301
rouge_l,many,-0.0
rouge_l,few+many,0.0446146161456481
bleu,single,0.1444574365323164
bleu,few,0.4024184047340062
bleu,many,-0.0
bleu,few+many,0.1706668392785454
bert_cosine,single,4.048211293507785
bert_cosine,few,0.989069519145619
bert_cosine,many,0.8639657810538889
bert_cosine,few+many,0.8942212657228614
