metric,group,elasticity
exact_match,single,4.057018615149629
exact_match,few,0.76810697309942
exact_match,many,-0.0
exact_match,few+many,0.3675008753066742
edit_sim,single,3.894345172203378
edit_sim,few,0.8347669212755601
edit_sim,many,-0.0
edit_sim,few+many,0.3966041236765224
jaccard_sim,single,4.556866880559822
jaccard_sim,few,1.5769813408644708
jaccard_sim,many,1.3921075624112642
jaccard_sim,few+many,1.4695644361007052
rouge_l,single,4.480520230118645
rouge_l,few,1.187819926825318
rouge_l,many,-0.0
rouge_l,few+many,0.5522446119822705
bleu,single,0.2462359475166962
bleu,few,0.835255331663935
bleu,many,-0.0
bleu,few+many,0.3962585381861545
bert_cosine,single,4.293217764800688
bert_cosine,few,2.1009327506690116
bert_cosine,many,1.3921075624112642
bert_cosine,few+many,1.720417493874339
